ChallengeId,ribbons,name,pace1,meters,spm,pace2,pace3,gain1,all1,pace4,gain2,all1
1,/challenge/2008/12/,"30 minutes @ 20 spm",2008,12,T,1800
1,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
17,None,DaveC,1:38.4,13:07.6,31,15.8,12,8,20,155,77,232,None
17,None,Stu,1:38.8,13:10.8,31,9.2,11,1,12,164,70,234,None
17,None,toddler,1:40.0,13:20.5,29,13.2,10,5,15,114,86,200,None
17,None,GregC,1:41.1,13:29.4,29,11.2,9,3,12,123,82,205,None
17,None,Adrian,1:41.8,13:34.7,30,16.8,8,10,18,86,81,167,None
17,None,stupe,1:43.5,13:48.0,30,None,7,None,7,96,63,159,None
17,None,AndyB,1:45.8,14:06.5,29,None,6,None,6,82,45,127,None
17,None,Emma,1:53.9,15:11.7,28,16.0,5,9,14,26,29,55,None
17,None,Arlene,2:00.0,16:00.0,28,9.4,4,2,6,40,77,117,None
17,None,Kay,2:03.0,16:24.2,28,15.4,3,7,10,24,71,95,None
17,None,Fiona,2:07.1,16:56.8,27,None,2,None,2,2,None,2,None
17,None,Jane,2:12.0,17:36.5,29,14.7,1,6,7,5,17,22,None
18,/challenge/2010/05/,"5000 m",2010,5,D,5000
18,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
18,None,Danny,1:43.4,17:14.0,25,None,18,None,18,18,None,18,None
18,None,DaveC,1:43.5,17:15.4,28,None,17,None,17,17,None,17,None
18,None,Stu,1:44.8,17:28.2,24,None,16,None,16,16,None,16,None
18,None,GregC,1:46.4,17:44.2,27,None,15,None,15,15,None,15,None
18,None,Rocky,1:46.6,17:46.2,25,None,14,None,14,14,None,14,None
18,None,toddler,1:47.7,17:57.7,24,None,13,None,13,13,None,13,None
18,None,stupe,1:48.8,18:08.1,26,None,12,None,12,12,None,12,None
18,None,Si,1:49.8,18:18.0,18,None,11,None,11,11,None,11,None
18,None,AndyB,1:52.6,18:46.7,25,None,10,None,10,10,None,10,None
18,None,Adrian,1:53.8,18:58.5,26,None,9,None,9,9,None,9,None
18,None,DaveS,1:57.4,19:34.3,24,None,8,None,8,8,None,8,None
18,None,Graham,1:57.6,19:36.5,24,None,7,None,7,7,None,7,None
18,None,Arlene,2:08.8,21:28.1,25,None,6,None,6,6,None,6,None
18,None,Kay,2:08.9,21:29.2,26,None,5,None,5,5,None,5,None
18,None,Fiona,2:13.4,22:14.3,26,None,4,None,4,4,None,4,None
18,None,JudyT,2:14.2,22:22.3,23,None,3,None,3,3,None,3,None
18,None,Jane,2:17.9,22:59.5,22,None,2,None,2,2,None,2,None
18,None,Claire,2:19.6,23:16.0,27,None,1,None,1,1,None,1,None
19,/challenge/2010/06/,"10,000 m @ 22 spm",2010,6,D,10000
19,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
19,None,Si,1:45.4,35:09.6,22,4.4,17,16,33,28,16,44,None
19,None,Danny,1:45.7,35:14.8,21,-2.3,16,13,29,34,13,47,None
19,None,Rocky,1:47.8,35:56.0,22,-1.2,15,14,29,29,14,43,None
19,None,Stu,1:48.5,36:11.0,22,-3.7,14,10,24,30,10,40,None
19,None,DaveC,1:48.9,36:18.1,22,-5.4,13,5,18,30,5,35,None
19,None,stupe,1:52.4,37:28.7,22,-3.6,12,11,23,24,11,35,None
19,None,toddler,1:52.4,37:29.2,22,-4.7,11,8,19,24,8,32,None
19,None,GregC,1:53.6,37:53.4,21,-7.2,10,4,14,25,4,29,None
19,None,Adrian,1:54.9,38:19.3,21,-1.1,9,15,24,18,15,33,None
19,None,AndyB,1:57.6,39:13.0,21,-5.0,8,7,15,18,7,25,None
19,None,Graham,2:01.7,40:35.6,22,-4.1,7,9,16,14,9,23,None
19,None,Emma,2:05.5,41:50.4,22,None,6,None,6,6,None,6,None
19,None,DaveS,2:06.6,42:13.1,21,-9.2,5,2,7,13,2,15,None
19,None,Arlene,2:12.2,44:05.1,22,-3.4,4,12,16,10,12,22,None
19,None,JudyT,2:22.4,47:29.0,22,-8.2,3,3,6,6,3,9,None
19,None,Kay,2:22.7,47:35.6,22,-13.8,2,1,3,7,1,8,None
19,None,Jane,2:23.2,47:45.0,22,-5.3,1,6,7,3,6,9,None
20,/challenge/2010/07/,"8  500 m, 2' rest",2010,7,D,4000
20,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
20,None,Danny,1:29.9,11:59.2,31,15.8,17,10,27,51,23,74,None
20,None,Si,1:31.4,12:11.2,33,14.0,16,8,24,44,24,68,None
20,None,NavHaz,1:33.6,12:28.8,30,None,15,None,15,15,None,15,None
20,None,Stu,1:35.1,12:41.5,36,13.4,14,6,20,44,16,60,None
20,None,Rocky,1:35.2,12:42.3,30,12.6,13,5,18,42,19,61,None
20,None,DaveC,1:37.0,12:56.2,28,11.9,12,4,16,42,9,51,None
20,None,toddler,1:38.6,13:09.2,29,13.8,11,7,18,35,15,50,None
20,None,AndyB,1:41.2,13:30.1,31,16.4,10,11,21,28,18,46,None
20,None,Adrian,1:41.5,13:32.5,30,13.4,9,6,15,27,21,48,None
20,None,stupe,1:42.3,13:38.5,29,10.1,8,1,9,32,12,44,None
20,None,GregC,1:43.3,13:46.4,28,10.3,7,2,9,32,6,38,None
20,None,Emma,1:48.4,14:27.3,30,17.1,6,12,18,12,12,24,None
20,None,Arlene,2:00.9,16:07.8,26,11.3,5,3,8,15,15,30,None
20,None,Kay,2:01.1,16:09.3,28,21.6,4,14,18,11,15,26,None
20,None,Fiona,2:03.1,16:25.3,29,None,3,None,3,7,None,7,None
20,None,JudyT,2:04.4,16:35.2,27,18.0,2,13,15,8,16,24,None
20,None,Jane,2:09.0,17:12.7,30,14.2,1,9,10,4,15,19,None
21,/challenge/2010/08/,"6000 m",2010,8,D,6000
21,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
21,None,Danny,1:39.4,19:52.9,27,-9.5,17,8,25,68,31,99,None
21,None,Si,1:41.3,20:16.4,26,-9.9,16,7,23,60,31,91,None
21,None,Rocky,1:43.1,20:38.2,27,-7.9,15,11,26,57,30,87,None
21,None,Stu,1:45.6,21:08.2,24,-10.5,14,4,18,58,20,78,None
21,None,DaveC,1:45.9,21:11.1,25,-8.9,13,10,23,55,19,74,None
21,None,ausrwr,1:49.4,21:53.1,19,None,12,None,12,12,None,12,None
21,None,toddler,1:49.7,21:57.0,24,-11.1,11,3,14,46,18,64,None
21,None,GregC,1:50.0,22:00.0,24,-6.7,10,13,23,42,19,61,None
21,None,AndyB,1:51.3,22:16.5,26,-10.1,9,5,14,37,23,60,None
21,None,stupe,1:51.7,22:20.4,24,-9.4,8,9,17,40,21,61,None
21,None,Adrian,1:52.7,22:33.3,26,-11.2,7,2,9,34,23,57,None
21,None,Graham,1:57.6,23:31.9,25,None,6,None,6,20,9,29,None
21,None,Emma,2:02.4,24:29.2,25,-14.0,5,1,6,17,13,30,None
21,None,Arlene,2:08.7,25:45.0,24,-7.8,4,12,16,19,27,46,None
21,None,Kay,2:12.2,26:26.5,25,-11.1,3,3,6,14,18,32,None
21,None,Fiona,2:13.1,26:37.8,26,-10.0,2,6,8,9,6,15,None
21,None,Claire,2:19.4,27:53.2,28,None,1,None,1,2,None,2,None
22,/challenge/2010/09/,"10  1', 1' rest, rolling starts allowed",2010,9,T,600
22,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
22,None,ausrwr,1:28.5,3389,None,20.9,17,13,30,29,13,42,None
22,None,NavHaz,1:28.8,3379,None,None,16,None,16,31,None,31,None
22,None,Danny,1:29.0,3369,32,10.4,15,1,16,83,32,115,None
22,None,Si,1:29.7,3346,33,11.6,14,3,17,74,34,108,None
22,None,DaveC,1:32.1,3256,33,13.8,13,8,21,68,27,95,None
22,None,Stu,1:32.2,3254,41,13.4,12,5,17,70,25,95,None
22,None,toddler,1:36.2,3119,None,13.5,11,6,17,57,24,81,None
22,None,GregC,1:36.3,3114,34,13.7,10,7,17,52,26,78,None
22,None,Matteo,1:37.4,3080,None,None,9,None,9,9,None,9,None
22,None,MattN,1:37.8,3069,None,None,8,None,8,8,None,8,None
22,None,AndyB,1:39.1,3027,33,12.2,7,4,11,44,27,71,None
22,None,Adrian,1:41.2,2964,29,11.5,6,2,8,40,25,65,None
22,None,George,1:43.0,2912,None,None,5,None,5,5,None,5,None
22,None,Emma,1:45.0,2856,30,17.4,4,12,16,21,25,46,None
22,None,Arlene,1:53.5,2643,28,15.2,3,11,14,22,38,60,None
22,None,Kay,1:57.5,2554,29,14.7,2,9,11,16,27,43,None
22,None,Fiona,1:58.1,2541,31,15.0,1,10,11,10,16,26,None
23,/challenge/2010/10/,"4  1250 m, 3'30 rest, @ 28 spm",2010,10,D,5000
23,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
23,None,Danny,1:36.4,16:04.4,28,-7.4,12,7,19,95,39,134,None
23,None,Si,1:36.7,16:07.0,28,-7.0,11,8,19,85,42,127,None
23,None,NavHaz,1:37.7,16:17.3,28,-8.9,10,3,13,41,3,44,None
23,None,DaveC,1:40.8,16:48.5,27,-8.7,9,4,13,77,31,108,None
23,None,Stu,1:41.5,16:55.6,28,-9.3,8,2,10,78,27,105,None
23,None,GregC,1:44.4,17:24.6,27,-8.1,7,6,13,59,32,91,None
23,None,toddler,1:44.6,17:26.6,27,-8.4,6,5,11,63,29,92,None
23,None,stupe,1:50.2,18:22.6,25,None,5,None,5,45,21,66,None
23,None,Adrian,1:51.5,18:35.8,26,-10.3,4,1,5,44,26,70,None
23,None,DaveS,1:57.0,19:30.8,23,None,3,None,3,16,2,18,None
23,None,Arlene,2:00.3,20:03.7,26,-6.8,2,9,11,24,47,71,None
23,None,Kay,2:06.8,21:08.0,26,-9.3,1,2,3,17,29,46,None
24,/challenge/2010/11/,"2000 m",2010,11,D,2000
24,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
24,None,ausrwr,1:31.1,6:04.6,33,None,15,None,15,44,13,57,None
24,None,Danny,1:32.8,6:11.3,32,3.6,14,10,24,109,49,158,None
24,None,NavHaz,1:36.4,6:25.6,32,1.3,13,4,17,54,7,61,None
24,None,Gittus,1:36.7,6:26.9,32,None,12,None,12,12,None,12,None
24,None,Stu,1:38.4,6:33.8,34,3.1,11,7,18,89,34,123,None
24,None,toddler,1:41.4,6:45.9,27,3.2,10,8,18,73,37,110,None
24,None,Si,1:41.9,6:47.6,26,-5.2,9,2,11,94,44,138,None
24,None,GregC,1:42.9,6:51.8,28,1.5,8,5,13,67,37,104,None
24,None,DaveC,1:48.3,7:13.2,22,-7.5,7,1,8,84,32,116,None
24,None,Rocket,1:49.6,7:18.4,29,None,6,None,6,6,None,6,None
24,None,Emma,1:49.8,7:19.4,29,None,5,None,5,26,25,51,None
24,None,Adrian,1:49.9,7:19.7,27,1.6,4,6,10,48,32,80,None
24,None,AndyB,1:56.8,7:47.2,23,None,3,None,3,47,27,74,None
24,None,Arlene,1:57.0,7:48.0,27,3.3,2,9,11,26,56,82,None
24,None,Kay,2:05.6,8:22.4,27,1.2,1,3,4,18,32,50,None
25,/challenge/2010/12/,"8000 m @ 24 spm",2010,12,D,8000
25,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
25,None,Matteo,1:40.5,26:48.0,24,None,16,None,16,25,None,25,None
25,None,Si,1:43.6,27:38.6,24,-1.7,15,10,25,109,54,163,None
25,None,Danny,1:44.7,27:56.0,24,-11.9,14,4,18,123,53,176,None
25,None,Stu,1:46.6,28:26.5,24,-8.2,13,6,19,102,40,142,None
25,None,GregC,1:49.9,29:19.1,23,-7.0,12,9,21,79,46,125,None
25,None,Rocky,1:50.0,29:20.2,24,None,11,None,11,68,30,98,None
25,None,stupe,1:51.2,29:40.3,24,None,10,None,10,55,21,76,None
25,None,NavHaz,1:51.4,29:43.3,20,-15.0,9,2,11,63,9,72,None
25,None,toddler,1:51.7,29:47.6,23,-10.3,8,5,13,81,42,123,None
25,None,AndyB,1:54.3,30:29.4,23,2.5,7,11,18,54,38,92,None
25,None,Adrian,1:57.7,31:23.2,24,-7.8,6,7,13,54,39,93,None
25,None,DaveS,2:03.1,32:49.6,19,None,5,None,5,21,2,23,None
25,None,Arlene,2:04.6,33:14.4,23,-7.6,4,8,12,30,64,94,None
25,None,Hannah,2:06.5,33:44.1,24,None,3,None,3,3,None,3,None
25,None,DaveC,2:09.1,34:26.2,20,-20.8,2,1,3,86,33,119,None
25,None,Kay,2:18.5,36:56.9,24,-12.9,1,3,4,19,35,54,None
26,/challenge/2011/01/,"5  750 m, 2' rest",2011,1,D,3750
26,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
26,None,Si,1:33.9,11:44.5,32,9.7,13,4,17,122,58,180,None
26,None,NavHaz,1:36.8,12:06.1,24,14.6,12,13,25,75,22,97,None
26,None,GregC,1:39.9,12:29.2,31,10.0,11,6,17,90,52,142,None
26,None,Stu,1:39.9,12:29.6,25,6.7,10,1,11,112,41,153,None
26,None,stupe,1:42.9,12:51.4,30,8.3,9,3,12,64,24,88,None
26,None,AndyB,1:43.0,12:52.2,29,11.3,8,9,17,62,47,109,None
26,None,toddler,1:43.8,12:58.5,28,7.9,7,2,9,88,44,132,None
26,None,Adrian,1:47.2,13:24.0,27,10.5,6,7,13,60,46,106,None
26,None,DaveS,1:50.3,13:46.9,26,12.8,5,10,15,26,12,38,None
26,None,Hannah,1:53.1,14:08.2,29,13.4,4,11,15,7,11,18,None
26,None,Arlene,1:54.7,14:20.1,29,9.9,3,5,8,33,69,102,None
26,None,DaveC,1:55.0,14:22.2,30,14.1,2,12,14,88,45,133,None
26,None,Kay,2:07.6,15:57.3,28,10.9,1,8,9,20,43,63,None
27,/challenge/2011/02/,"30 minutes @ 20 spm",2011,2,T,1800
27,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
27,None,Matteo,1:44.0,8654,19,None,15,None,15,40,None,40,None
27,None,Si,1:46.7,8432,20,-12.8,14,3,17,136,61,197,None
27,None,Rocky,1:46.9,8418,20,None,13,None,13,81,30,111,None
27,None,NavHaz,1:49.1,8251,20,-12.3,12,4,16,87,26,113,None
27,None,Gittus,1:49.1,8249,20,None,11,None,11,23,None,23,None
27,None,GregC,1:51.8,8052,20,-11.9,10,5,15,100,57,157,None
27,None,stupe,1:51.9,8040,20,-9.0,9,11,20,73,35,108,None
27,None,AndyB,1:53.8,7909,20,-10.8,8,8,16,70,55,125,None
27,None,toddler,1:55.1,7818,20,-11.3,7,7,14,95,51,146,None
27,None,Adrian,1:56.6,7719,20,-9.4,6,10,16,66,56,122,None
27,None,DaveC,1:59.8,7515,20,-4.8,5,12,17,93,57,150,None
27,None,DaveS,2:00.6,7465,18,-10.3,4,9,13,30,21,51,None
27,None,Hannah,2:04.6,7223,20,-11.5,3,6,9,10,17,27,None
27,None,Arlene,2:15.1,6662,19,-20.4,2,1,3,35,70,105,None
27,None,Kay,2:23.1,6291,20,-15.5,1,2,3,21,45,66,None
28,/challenge/2011/03/,"4  500 m, 2' rest",2011,3,D,2000
28,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
28,None,Si,1:29.1,5:56.3,36,17.6,12,5,17,148,66,214,None
28,None,NavHaz,1:29.3,5:57.0,34,19.8,11,7,18,98,33,131,None
28,None,Stu,1:34.0,6:15.8,42,None,10,None,10,122,41,163,None
28,None,Gittus,1:34.1,6:16.4,33,15.0,9,1,10,32,1,33,None
28,None,DaveC,1:35.5,6:22.1,31,24.3,8,10,18,101,67,168,None
28,None,GregC,1:36.7,6:26.9,34,15.1,7,2,9,107,59,166,None
28,None,toddler,1:37.2,6:28.6,33,17.9,6,6,12,101,57,158,None
28,None,AndyB,1:38.1,6:32.5,31,15.7,5,3,8,75,58,133,None
28,None,Adrian,1:40.2,6:40.8,32,16.4,4,4,8,70,60,130,None
28,None,DaveS,1:40.8,6:43.3,32,19.8,3,7,10,33,28,61,None
28,None,Arlene,1:55.2,7:40.7,30,19.9,2,8,10,37,78,115,None
28,None,Kay,2:00.6,8:02.5,29,22.5,1,9,10,22,54,76,None
29,/challenge/2011/04/,"1000 m",2011,4,D,1000
29,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
29,None,Si,1:32.8,3:05.6,32,-3.7,13,5,18,161,71,232,None
29,None,DaveC,1:35.7,3:11.3,32,-0.2,12,10,22,113,77,190,None
29,None,Gittus,1:36.2,3:12.4,34,-2.1,11,6,17,43,7,50,None
29,None,toddler,1:37.7,3:15.3,32,-0.5,10,8,18,111,65,176,None
29,None,Stu,1:37.8,3:15.6,36,-3.8,9,4,13,131,45,176,None
29,None,GregC,1:38.7,3:17.3,32,-2.0,8,7,15,115,66,181,None
29,None,AndyB,1:42.2,3:24.4,29,-4.1,7,3,10,82,61,143,None
29,None,stupe,1:44.5,3:28.9,27,None,6,None,6,79,35,114,None
29,None,DaveS,1:45.0,3:29.9,29,-4.2,5,2,7,38,30,68,None
29,None,Hannah,1:47.9,3:35.8,31,None,4,None,4,14,17,31,None
29,None,Arlene,1:55.0,3:49.9,29,0.2,3,11,14,40,89,129,None
29,None,Adrian,1:59.4,3:58.8,20,-19.2,2,1,3,72,61,133,None
29,None,Kay,2:01.0,4:02.0,30,-0.4,1,9,10,23,63,86,None
30,/challenge/2011/05/,"5000 m",2011,5,D,5000
30,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
30,None,Si,1:38.8,16:27.9,28,None,18,None,18,18,None,18,None
30,None,Rocky,1:43.0,17:10.1,27,None,17,None,17,17,None,17,None
30,None,Gittus,1:43.8,17:18.4,26,None,16,None,16,16,None,16,None
30,None,GregC,1:44.9,17:28.5,28,None,15,None,15,15,None,15,None
30,None,DaveC,1:45.8,17:38.1,26,None,14,None,14,14,None,14,None
30,None,Stu,1:46.5,17:45.2,28,None,13,None,13,13,None,13,None
30,None,stupe,1:47.5,17:55.1,25,None,12,None,12,12,None,12,None
30,None,MattN,1:49.6,18:16.2,29,None,11,None,11,11,None,11,None
30,None,toddler,1:51.3,18:32.9,24,None,10,None,10,10,None,10,None
30,None,AndyB,1:52.8,18:48.0,24,None,9,None,9,9,None,9,None
30,None,DaveS,1:54.0,19:00.1,24,None,8,None,8,8,None,8,None
30,None,Hannah,1:54.8,19:07.6,27,None,7,None,7,7,None,7,None
30,None,Adrian,1:55.0,19:09.5,25,None,6,None,6,6,None,6,None
30,None,Rocket,1:56.0,19:19.7,26,None,5,None,5,5,None,5,None
30,None,NavHaz,1:57.9,19:38.6,24,None,4,None,4,4,None,4,None
30,None,Arlene,2:02.4,20:23.8,26,None,3,None,3,3,None,3,None
30,None,Kay,2:11.7,21:57.3,26,None,2,None,2,2,None,2,None
30,None,Jane,2:17.5,22:55.1,27,None,1,None,1,1,None,1,None
31,/challenge/2011/06/,"60 minutes",2011,6,T,3600
31,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
31,None,Stu,1:49.8,16387,24,-3.3,13,11,24,26,11,37,None
31,None,Rocky,1:50.3,16323,23,-7.3,12,5,17,29,5,34,None
31,None,DaveC,1:51.3,16166,22,-5.5,11,7,18,25,7,32,None
31,None,stupe,1:54.7,15694,23,-7.2,10,6,16,22,6,28,None
31,None,toddler,1:55.6,15569,22,-4.3,9,10,19,19,10,29,None
31,None,Rocket,1:58.1,15241,25,-2.1,8,12,20,13,12,25,None
31,None,AndyB,1:58.3,15220,23,-5.5,7,7,14,16,7,23,None
31,None,DaveS,1:59.1,15111,22,-5.1,6,8,14,14,8,22,None
31,None,Hannah,1:59.2,15107,25,-4.4,5,9,14,12,9,21,None
31,None,Adrian,2:08.4,14021,23,-13.4,4,2,6,10,2,12,None
31,None,Arlene,2:12.3,13605,25,-9.9,3,4,7,6,4,10,None
31,None,NavHaz,2:18.5,13000,24,-20.6,2,1,3,6,1,7,None
31,None,Kay,2:22.9,12592,25,-11.2,1,3,4,3,3,6,None
32,/challenge/2011/07/,"10,000 m",2011,7,D,10000
32,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
32,None,Rocky,1:46.0,35:19.0,24,4.3,11,7,18,40,12,52,None
32,None,Stu,1:48.9,36:18.4,25,0.9,10,2,12,36,13,49,None
32,None,DaveC,1:49.1,36:21.0,24,2.2,9,4,13,34,11,45,None
32,None,stupe,1:51.2,37:04.0,24,3.5,8,6,14,30,12,42,None
32,None,AndyB,1:53.7,37:54.8,24,4.6,7,8,15,23,15,38,None
32,None,GregC,1:55.4,38:27.4,21,None,6,None,6,21,None,21,None
32,None,Rocket,1:55.9,38:38.8,26,2.2,5,4,9,18,16,34,None
32,None,DaveS,1:57.6,39:11.8,24,1.5,4,3,7,18,11,29,None
32,None,toddler,1:57.8,39:15.7,21,-2.2,3,1,4,22,11,33,None
32,None,Arlene,2:10.0,43:19.7,24,2.3,2,5,7,8,9,17,None
32,None,Kay,2:16.1,45:22.1,25,6.8,1,9,10,4,12,16,None
33,/challenge/2011/08/,"5  1000 m, 3' rest, @ 24 spm",2011,8,D,5000
33,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
33,None,Si,1:38.7,16:26.6,24,None,16,None,16,34,None,34,None
33,None,Rocky,1:40.9,16:49.3,24,5.1,15,1,16,55,13,68,None
33,None,Stu,1:42.7,17:06.8,24,6.2,14,5,19,50,18,68,None
33,None,DaveC,1:43.5,17:15.2,24,5.6,13,2,15,47,13,60,None
33,None,stupe,1:45.4,17:33.9,24,5.8,12,3,15,42,15,57,None
33,None,GregC,1:45.6,17:35.6,24,9.8,11,9,20,32,9,41,None
33,None,toddler,1:46.9,17:49.0,24,10.9,10,10,20,32,21,53,None
33,None,Rocket,1:47.2,17:52.3,24,8.7,9,7,16,27,23,50,None
33,None,JohnVB,1:47.2,17:52.4,24,None,8,None,8,8,None,8,None
33,None,AndyB,1:47.8,17:57.7,24,5.9,7,4,11,30,19,49,None
33,None,NavHaz,1:48.9,18:08.5,16,None,6,None,6,12,1,13,None
33,None,DaveS,1:50.9,18:28.6,22,6.7,5,6,11,23,17,40,None
33,None,Adrian,1:52.3,18:43.2,23,None,4,None,4,14,2,16,None
33,None,Arlene,2:00.3,20:02.5,24,9.7,3,8,11,11,17,28,None
33,None,jvb,2:00.7,20:07.0,24,None,2,None,2,2,None,2,None
33,None,Kay,2:09.4,21:33.7,24,6.7,1,6,7,5,18,23,None
34,/challenge/2011/09/,"4k, 2k, 1k, 500 m  with 2' rest",2011,9,D,7500
34,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
34,None,Rocky,1:42.9,25:43.5,28,-2.0,10,7,17,65,20,85,None
34,None,Stu,1:44.8,26:12.0,30,-2.1,9,6,15,59,24,83,None
34,None,DaveC,1:44.9,26:13.6,26,-1.4,8,8,16,55,21,76,None
34,None,GregC,1:46.5,26:38.0,29,-0.9,7,9,16,39,18,57,None
34,None,NavHaz,1:48.6,27:08.8,18,0.3,6,10,16,18,11,29,None
34,None,AndyB,1:50.1,27:31.5,27,-2.3,5,5,10,35,24,59,None
34,None,toddler,1:50.6,27:38.6,25,-3.7,4,2,6,36,23,59,None
34,None,DaveS,1:55.2,28:48.4,23,-4.3,3,1,4,26,18,44,None
34,None,Arlene,2:03.7,30:56.1,26,-3.4,2,3,5,13,20,33,None
34,None,Kay,2:12.2,33:03.1,26,-2.8,1,4,5,6,22,28,None
35,/challenge/2011/10/,"250, 500, 750, 1k,  750, 500, 250 (1' rest)",2011,10,D,4000
35,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
35,None,Rocky,1:37.7,13:01.8,28,5.2,13,3,16,78,23,101,None
35,None,Stu,1:38.5,13:08.0,34,6.3,12,5,17,71,29,100,None
35,None,DaveC,1:39.1,13:12.6,28,5.8,11,4,15,66,25,91,None
35,None,NavHaz,1:41.6,13:32.9,18,7.0,10,8,18,28,19,47,None
35,None,GregC,1:42.1,13:37.0,30,4.4,9,2,11,48,20,68,None
35,None,toddler,1:42.8,13:42.1,29,7.8,8,9,17,44,32,76,None
35,None,DaveS,1:43.4,13:47.4,30,11.8,7,10,17,33,28,61,None
35,None,AndyB,1:43.6,13:48.6,31,6.5,6,6,12,41,30,71,None
35,None,stupe,1:48.8,14:30.1,27,None,5,None,5,47,15,62,None
35,None,Hannah,1:49.3,14:34.6,30,None,4,None,4,16,9,25,None
35,None,Adrian,1:53.5,15:07.7,25,None,3,None,3,17,2,19,None
35,None,Arlene,2:00.0,16:00.1,28,3.7,2,1,3,15,21,36,None
35,None,Kay,2:05.4,16:43.0,29,6.8,1,7,8,7,29,36,None
36,/challenge/2011/11/,"20 minutes",2011,11,T,1200
36,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
36,None,Rocky,1:43.6,5793,27,-5.9,14,7,21,92,30,122,None
36,None,Danny,1:43.7,5786,26,None,13,None,13,13,None,13,None
36,None,GregC,1:46.6,5628,26,-4.5,12,8,20,60,28,88,None
36,None,DaveC,1:47.2,5599,29,-8.1,11,3,14,77,28,105,None
36,None,Si,1:48.5,5530,19,None,10,None,10,44,None,44,None
36,None,DaveS,1:51.6,5378,26,-8.2,9,2,11,42,30,72,None
36,None,AndyB,1:51.8,5367,25,-8.2,8,2,10,49,32,81,None
36,None,toddler,1:52.2,5346,22,-9.4,7,1,8,51,33,84,None
36,None,Rocket,1:55.0,5217,26,None,6,None,6,33,23,56,None
36,None,Adrian,1:55.5,5197,26,-2.0,5,9,14,22,11,33,None
36,None,stupe,1:55.9,5177,22,-7.1,4,5,9,51,20,71,None
36,None,Hannah,1:57.1,5125,24,-7.8,3,4,7,19,13,32,None
36,None,Arlene,2:01.6,4935,27,-1.6,2,10,12,17,31,48,None
36,None,Kay,2:12.2,4540,25,-6.8,1,6,7,8,35,43,None
37,/challenge/2011/12/,"1k, 2k, 3k, 2k, 1k  (2' rest)",2011,12,D,9000
37,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
37,None,Si,1:39.3,29:46.8,29,9.2,12,8,20,56,8,64,None
37,None,Rocky,1:43.1,30:55.4,27,0.5,11,5,16,103,35,138,None
37,None,GregC,1:45.7,31:42.2,28,0.9,10,7,17,70,35,105,None
37,None,DaveC,1:48.4,32:31.7,29,-1.2,9,4,13,86,32,118,None
37,None,AndyB,1:51.2,33:21.6,24,0.6,8,6,14,57,38,95,None
37,None,toddler,1:51.6,33:28.6,23,0.6,7,6,13,58,39,97,None
37,None,Stu,1:52.2,33:39.3,20,None,6,None,6,77,29,106,None
37,None,DaveS,1:53.2,33:57.5,26,-1.6,5,2,7,47,32,79,None
37,None,stupe,1:55.3,34:35.7,24,0.6,4,6,10,55,26,81,None
37,None,Adrian,1:57.4,35:13.3,25,-1.9,3,1,4,25,12,37,None
37,None,Arlene,2:00.7,36:12.4,27,0.9,2,7,9,19,38,57,None
37,None,Kay,2:13.7,40:06.6,26,-1.5,1,3,4,9,38,47,None
38,/challenge/2012/01/,"6  500 m, 1' rest",2012,1,D,3000
38,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
38,None,NavHaz,1:36.1,9:36.8,31,None,12,None,12,40,19,59,None
38,None,Stu,1:36.2,9:36.9,35,16.0,11,10,21,88,39,127,None
38,None,DaveC,1:38.2,9:49.4,30,10.2,10,8,18,96,40,136,None
38,None,GregC,1:40.2,10:01.3,31,5.5,9,3,12,79,38,117,None
38,None,AndyB,1:40.9,10:05.5,29,10.3,8,9,17,65,47,112,None
38,None,toddler,1:42.8,10:17.0,25,8.8,7,7,14,65,46,111,None
38,None,Hannah,1:48.2,10:49.0,29,None,6,None,6,25,13,38,None
38,None,stupe,1:48.4,10:50.6,26,6.9,5,5,10,60,31,91,None
38,None,DaveS,1:48.7,10:51.9,27,4.5,4,2,6,51,34,85,None
